,,,,,,,,,,,,,,
Dumpster,Month,Year,Date,Weight (tons),Volume (cubic yards),Plastic Bottles,Polystyrene,Cigarette Butts,Glass Bottles,Grocery Bags,Chip Bags,Sports Balls,Homes Powered*,
192,May ,2017,5/5/17,3.53,18,2870,3140,16000,21,3460,3720,11,59,
193,May ,2017,5/5/17,4.07,15,2230,2820,14000,19,3250,3890,14,68,
194,May ,2017,5/6/17,3.93,15,2340,2530,15000,18,2890,3100,12,66,
195,May ,2017,5/11/17,2.59,18,2560,2430,18000,16,3120,3240,8,43,
196,May ,2017,5/11/17,3.81,15,2340,2250,19000,22,2830,3020,5,64,
197,May ,2017,5/22/17,3.3,15,2480,2320,14000,21,2990,3120,9,55,
198,May ,2017,5/22/17,3.84,18,2540,2410,15000,16,1980,2230,5,64,
199,May ,2017,5/26/17,4.1,15,2980,2830,17000,18,2590,2730,14,68,
,May  Total,,,29.17,129,20340,20730,128000,151,23110,25050,78,486,
200,June,2017,6/21/17,4.1,18,3250,2980,21000,23,3460,3640,12,68,
201,June,2017,6/21/17,2.52,15,3340,3120,26000,16,2640,3010,8,42,
202,June,2017,6/27/17,1.95,15,2850,2560,17000,21,2430,2790,7,33,
,June Total,,,8.57,48,9440,8660,64000,60,8530,9440,27,143,
203,July,2017,7/3/17,3.58,18,3220,3140,23000,24,2870,3160,18,60,
204,July,2017,7/3/17,1.5,15,2110,1920,14000,32,1780,2140,11,25,
205,July,2017,7/12/17,3.63,15,3670,3240,32000,34,3020,3560,22,61,
206,July,2017,7/27/17,2.21,18,2890,2710,11000,20,2890,3250,13,37,
207,July,2017,7/28/17,4.04,15,1460,1250,9000,12,1120,1540,21,67,
,July Total,,,14.96,81,13350,12260,89000,122,11680,13650,85,249,
208,August,2017,8/2/17,3.87,15,3240,3120,18000,27,2780,3170,14,65,
209,August,2017,8/4/17,3.68,18,3530,3240,26000,25,3250,3590,9,61,
210,August,2017,8/7/17,2.17,15,2760,2500,19000,31,2230,2740,6,36,
211,August,2017,8/11/17,2.1,15,2980,2740,22000,28,2640,2930,13,35,
212,August,2017,8/18/17,3.7,18,2430,2010,27000,36,2910,3310,11,62,
213,August,2017,8/19/17,3.39,15,1500,1390,12000,42,600,750,6,57,
214,August,2017,8/19/17,3.14,15,1270,1140,9000,13,780,890,8,52,
215,August,2017,8/19/17,3.54,18,1340,1180,13000,31,630,1250,5,59,
,August Total,,,25.59,129,19050,17320,146000,233,15820,18630,72,427,
216,September,2017,9/12/17,3.07,18,2780,2540,11000,21,1460,1870,6,51,
217,September,2017,9/25/17,2.15,15,2910,2890,14000,32,1870,2140,12,36,
,September Total,,,5.22,33,5690,5430,25000,53,3330,4010,18,87,
218,October,2017,10/11/17,2.76,15,2760,2450,11000,24,1640,2350,8,46,
219,October,2017,10/25/17,2.76,18,2950,2780,10000,29,1780,2130,7,46,
,October Total,,,5.52,33,5710,5230,21000,53,3420,4480,15,92,
220,November,2017,11/14/17,2.38,15,2550,2870,12000,23,1640,2210,13,40,
221,November,2017,11/15/17,2.02,15,2720,2980,11000,32,1870,2340,11,34,
,November Total,,,4.4,30,5270,5850,23000,55,3510,4550,24,73,
222,January,2018,1/15/18,2.17,15,2540,3160,15000,28,2220,2560,12,36,
223,January,2018,1/25/18,2.08,15,2370,2790,21000,12,1540,2760,8,35,
,January Total,,,4.25,30,4910,5950,36000,40,3760,5320,20,71,
224,February,2018,2/5/18,3.12,18,2250,3120,18000,16,1630,2800,6,52,
225,February,2018,2/5/18,2.45,15,1260,1670,22000,9,870,1580,4,41,
226,February,2018,2/5/18,3.72,15,950,1470,16000,11,920,1340,6,62,
227,February,2018,2/6/18,4,18,1020,1590,14000,7,1110,1850,12,67,
228,February,2018,2/11/18,3.54,15,2250,2560,24000,18,1430,2260,14,59,
229,February,2018,2/11/18,3.19,15,1130,1470,12000,10,650,1400,5,53,
230,February,2018,2/11/18,4.51,18,1240,1510,11000,6,710,1390,4,75,
231,February,2018,2/13/18,2.97,15,1950,2130,16000,3,1050,1670,8,50,
232,February,2018,2/13/18,3.78,15,1460,1620,12000,5,630,1320,3,63,
